transcript,label
Customer: I need help because I want to split the transfer to avoid the documentation step. I just want to make sure this is handled correctly. Agent: Let me review that with you.,Compliance Risk
"Customer: Hi, I am frustrated, but I still do not want to provide the requested documents. I want to understand what the next step should be. Agent: Let me review that with you.",Compliance Risk
Customer: I need help because I want to use someone else's identification for this request. I have the account open in front of me. Agent: Let me review that with you.,Compliance Risk
"Customer: Hi, I keep getting transferred without a solution. I have the account open in front of me. Agent: Let me review that with you.",Escalation Risk
Customer: I'm calling because I was not in the city where this purchase happened. I want to understand what the next step should be. Agent: Let me determine the appropriate next step.,Fraud Risk
"Customer: Hello, I have not completed identity verification but want the restriction removed. I have the account open in front of me. Agent: I can check the account details.",Compliance Risk
"Customer: I need help because I understand the fee and verification rules, but the promised correction never happened. I would appreciate some guidance. Agent: Let me review that with you.",Escalation Risk
"Customer: I'm calling because I understand why the transfer was held, but support promised a review days ago. I would appreciate some guidance. Agent: Let me review that with you.",Escalation Risk
"Customer: Hi, I keep getting transferred without a solution. I just want to make sure this is handled correctly. Agent: Let me review that with you.",Escalation Risk
Customer: I'm calling because I want to know the normal refund timeline. I have the account open in front of me. Agent: I can help route this request correctly.,Normal Support
"Customer: I need help because I am frustrated, but I still do not want to provide the requested documents. I have the account open in front of me. Agent: I can check the account details.",Compliance Risk
"Customer: I'm calling because I am frustrated, but I still do not want to provide the requested documents. I just want to make sure this is handled correctly. Agent: Let me review that with you.",Compliance Risk
"Customer: Hello, I noticed a service charge but I am not saying it was unauthorized. I would appreciate some guidance. Agent: I can help route this request correctly.",Normal Support
Customer: I'm calling because I never placed this online order. I noticed this while checking the app. Agent: Let me review that with you.,Fraud Risk
"Customer: Hello, I want the source-of-funds requirement waived. I noticed this while checking the app. Agent: Let me review that with you.",Compliance Risk
"Customer: Hello, I want to know when my debit card will arrive. I would appreciate some guidance. Agent: I can help route this request correctly.",Normal Support
Customer: I'm calling because I did not authorize this transfer. I noticed this while checking the app. Agent: I can help route this request correctly.,Fraud Risk
"Customer: Hi, I want an explanation of this monthly service fee. I just want to make sure this is handled correctly. Agent: I can help route this request correctly.",Normal Support
"Customer: Hello, I want to split the transfer to avoid the documentation step. I just want to make sure this is handled correctly. Agent: Let me determine the appropriate next step.",Compliance Risk
Customer: I need help because I have not completed identity verification but want the restriction removed. I have the account open in front of me. Agent: I can help route this request correctly.,Compliance Risk
Customer: I need help because these small charges do not belong to me. I want to understand what the next step should be. Agent: I can check the account details.,Fraud Risk
"Customer: Hello, these small charges do not belong to me. I just want to make sure this is handled correctly. Agent: I can check the account details.",Fraud Risk
